Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 67.0.3396.79,,2018-06-26 11:35:28,2018-06-26 11:35:29,1.001s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:29,2018-06-26 11:35:29,0.085s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-26 11:35:29,2018-06-26 11:35:29,0.124s,PASSED
sendKeys,Chrome 67.0.3396.79,,2018-06-26 11:35:29,2018-06-26 11:35:32,2.769s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-06-26 11:35:32,2018-06-26 11:35:32,0.036s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:32,2018-06-26 11:35:32,0.187s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:32,2018-06-26 11:35:32,0.050s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:32,2018-06-26 11:35:32,0.042s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:32,2018-06-26 11:35:33,0.132s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:33,0.042s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:33,0.040s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:33,0.027s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:33,0.094s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:33,0.034s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:33,0.026s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:33,0.095s,PASSED
scrollToPosition,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:33,0.018s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.79,,2018-06-26 11:35:33,2018-06-26 11:35:34,1.383s,FAILED
